ligand,ligand_origin,receptor,vina_score_kcal_mol,match_type
wt_cand_01,wt,wt,-8.097,native
wt_cand_01,wt,t790m,-7.733,cross
wt_cand_02,wt,wt,-7.602,native
wt_cand_02,wt,t790m,-7.845,cross
wt_cand_03,wt,wt,-8.003,native
wt_cand_03,wt,t790m,-7.788,cross
wt_cand_04,wt,wt,-8.126,native
wt_cand_04,wt,t790m,-7.86,cross
wt_cand_05,wt,wt,-8.135,native
wt_cand_05,wt,t790m,-8.25,cross
t790m_cand_01,t790m,wt,-8.606,cross
t790m_cand_01,t790m,t790m,-7.967,native
t790m_cand_02,t790m,wt,-8.517,cross
t790m_cand_02,t790m,t790m,-8.196,native
t790m_cand_03,t790m,wt,-9.307,cross
t790m_cand_03,t790m,t790m,-7.932,native
t790m_cand_04,t790m,wt,-8.265,cross
t790m_cand_04,t790m,t790m,-8.372,native
t790m_cand_05,t790m,wt,-9.219,cross
t790m_cand_05,t790m,t790m,-7.936,native
