SMILES,origin,rank,predicted_pchembl,Caco2,hERG,DILI,CYP3A4,BBB,Caco2_pass,hERG_pass,DILI_pass,ADMET_pass
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1CCCl)C(=O)O2,WT,1,11.122966766357422,-4.758,0.681,0.72,0.685,0.765,True,False,False,False
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1SCO)C(=O)O2,WT,2,10.934209823608398,-4.895,0.65,0.76,0.665,0.667,True,False,False,False
CSc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,WT,3,10.796619415283203,-4.713,0.675,0.775,0.635,0.775,True,False,False,False
CN1CC2(CC(c3cc4c(Nc5cccc(Cl)c5F)ncnc4cc3O)C(=O)O2)C1,WT,4,10.736732482910156,-5.069,0.68,0.695,0.75,0.713,True,False,False,False
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1Cl)C(=O)O2,WT,5,10.681598663330078,-4.653,0.68,0.77,0.65,0.805,True,False,False,False
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4Cl)ncnc3cc1O)C(=O)O2,WT,6,10.672967910766602,-4.867,0.695,0.755,0.645,0.755,True,False,False,False
O=C1OC2(CN(CS)C2)CN1c1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1O,WT,7,10.65098762512207,-5.158,0.75,0.77,0.57,0.775,False,False,False,False
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4S)ncnc3cc1O)C(=O)O2,WT,8,10.641944885253906,-4.872,0.705,0.77,0.61,0.76,True,False,False,False
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1O)C(=O)O2,WT,9,10.640268325805664,-4.877,0.675,0.745,0.64,0.77,True,False,False,False
CCSN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1O)C(=O)O2,WT,10,10.609079360961914,-5.259,0.72,0.735,0.625,0.748,False,False,False,False
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,WT,11,10.392681121826172,-4.684,0.71,0.75,0.665,0.795,True,False,False,False
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(SCF)C2)OC1=O,WT,12,10.392522811889648,-4.845,0.725,0.74,0.67,0.76,True,False,False,False
CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1O)C(=O)O2,WT,13,10.350711822509766,-5.139,0.755,0.715,0.615,0.79,True,False,False,False
CCSN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,WT,14,10.160385131835938,-4.858,0.725,0.735,0.67,0.76,True,False,False,False
CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,WT,15,10.118667602539062,-4.615,0.74,0.77,0.68,0.82,True,False,False,False
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,WT,16,10.078922271728516,-4.695,0.725,0.675,0.605,0.74,True,False,False,False
C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC(C)C)n3)[nH]c12,T790M,1,7.453120231628418,-5.211,0.76,0.615,0.48,0.65,False,False,False,False
C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3nc(Nc4ccccc4OC)ncc3Cl)[nH]c12,T790M,2,7.414230346679688,-4.925,0.76,0.645,0.59,0.66,True,False,False,False
C=CC(=O)N1CCC(Nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2OC)CC1,T790M,3,7.413240432739258,-4.797,0.805,0.7,0.495,0.735,True,False,False,False
C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3nc(Nc4ccccc4OC)ncc3C)[nH]c12,T790M,4,7.390300273895264,-4.948,0.75,0.62,0.56,0.655,True,False,False,False
C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,T790M,5,7.337741851806641,-4.827,0.733,0.735,0.5,0.76,True,False,False,False
C=CC(=O)N1CC(Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]2CCOC2)C1,T790M,6,7.299274444580078,-4.802,0.715,0.73,0.48,0.7,True,False,False,False
C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC)n3)[nH]c12,T790M,7,7.231321811676025,-5.201,0.795,0.615,0.495,0.635,False,False,False,False
CC(C)n1cc(C(N)=O)c2cnc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)cc21,T790M,8,7.203216075897217,-4.868,0.66,0.865,0.48,0.755,True,False,False,False
C=CC(=O)Nc1cccc(Oc2cnc(C(N)=O)c(Nc3ccc(N4CCN(C)CC4)cc3)n2)c1,T790M,9,7.179513931274414,-4.786,0.805,0.705,0.51,0.78,True,False,False,False
C=CC(=O)N1CCC(Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OC)CC1,T790M,10,7.165412902832031,-4.756,0.785,0.715,0.52,0.725,True,False,False,False
C=CC(=O)N1CC(Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OC)C1,T790M,11,6.941054344177246,-4.757,0.725,0.72,0.545,0.695,True,False,False,False
C=CC(=O)N1CC(Nc2cc3c(Nc4cccc(C(C)=O)c4)ncnc3cc2OC)C1,T790M,12,6.878288745880127,-4.814,0.7,0.685,0.455,0.66,True,False,False,False
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC4CN(C(=O)C=C)C4)cc23)c1,T790M,13,6.750098705291748,-4.797,0.715,0.685,0.535,0.595,True,False,False,False
